id,is_this_posting_relevant_to_sentiment_that_you_can_perform_annotation_,what_is_the_authors_sentiment_feeling_throughout_the_post_,classify,text_cleaned,text_origin,tweetid,tweeturl
5483990257,yes,S,excitement,booked car garage early doors stupid face_with_tears_of_joy cheeky run home aswel hope winds die,@alittlespoonH Booked the car in the garage early doors  stupid me 😂  With a cheeky run home aswell  hope the winds die down!,1231009463575990000,https://twitter.com/Reader6666/statuses/1231009463575990274
5483983795,no,,excitement,awe nah daddy knows call cause never like whores roling_on_the_flor_laughing ima tell lol,@A1Lex_ awe nah my daddy knows not to call me for this cause I never like any of his whores 🤣 and imma tell it all lol,1231009461558500000,https://twitter.com/prettigurlzpray/statuses/1231009461558501381
5483990278,no,,excitement,even in2 around 2016 nobody brits bro us nines building nobody awards face_with_tears_of_joy face_with_tears_of_joy,@Guru_hoe Even when In2 was out around 2016 there was noooobody at the Brits bro  us and Nines in the building but nobody up for awards 😂😂,1231009461197770000,https://twitter.com/MorganKeyz/statuses/1231009461197774850
5483996385,yes,H,excitement,sounds like good fuckin day lol bless itching ft call face_with_tears_of_joy face_with_tears_of_joy,@Primo_Dulce Sounds like a good FUCKIN day lol bless  and you’re itching for a FT call 😂😂,1231009461009040000,https://twitter.com/hannahmosho/statuses/1231009461009035266
5483999903,yes,S,excitement,bless heart looks like drank enough kolaid cult45 go trumptanic even others shred dignity left abandon sinking ship keels face_with_tears_of_joy,@hollyhobbyPhD @AndrewBatesNC @thehill @kenvogel Bless your heart  looks like you've drank enough koolaid in #Cult45 to go down with the #Trumptanic even while others with a shred of dignity left abandon that sinking ship as it keels over 😂 https://t.co/bJvr5wPo8a,1231009460358960000,https://twitter.com/saltyconchy/statuses/1231009460358963203
5483979049,no,,excitement,nope pretty much like face_with_tears_of_joy sad part woman wrong situation submit nerve guy argue back say `` soft '' ... never win even let yal right,"@EShortcake516 @KimberlyzQueen Nope you all are pretty much like that😂sad part is woman to just be wrong about a situation and submit but then have the nerve when a guy doesn't argue back and say ""He to soft""...We can never win even if we let yall be right.",1231009460291850000,https://twitter.com/Viciousvirgo973/statuses/1231009460291850240
5483976755,yes,E,excitement,starbucks ben ordering megan got complicated shit face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,We’re at Starbucks and Ben is ordering and Megan and I got the most complicated shit 😂😂😂😂,1231009459322990000,https://twitter.com/lizreeser49/statuses/1231009459322990592
5483979043,yes,E,excitement,managing projects sometimes calls glass coronavirus wine apparently week requires two bottles roling_on_the_flor_laughing thanks may next day trip,Managing #projects sometimes calls for a glass of #coronavirus wine. Apparently  this week requires two bottles  @runjsmithrun! 🤣 Thanks  @kccellarrat! And @Raistonic  this may be our next day trip!,1231009458555420000,https://twitter.com/PMContrarian/statuses/1231009458555424770
5483998617,yes,S,excitement,amateur comes steak tell difference face_with_tears_of_joy,I’m such an amateur when it comes to steak. I can’t tell the difference between any of them 😂,1231009458119050000,https://twitter.com/brn439/statuses/1231009458119045120
5483998611,yes,S,excitement,omg totally joke face_with_tears_of_joy concerned thanks response though,@SHEIN_official Omg this was totally a joke 😂 I’m not concerned! Thanks for the response though!,1231009457896930000,https://twitter.com/_emaaaac_/statuses/1231009457896927233
5483979048,yes,E,excitement,one handle excitement 'friends reunion,The one where we can't handle our excitement for the 'Friends' reunion. https://t.co/S9NpVwm7II,1231009457720770000,https://twitter.com/WKTV/statuses/1231009457720766465
5483994295,yes,S,excitement,wait ... top 5 flushed_face flushed_face left top face_with_tears_of_joy teasing pretty awesome,@wilby90 Wait.... what??  Top 5??? 😳😳 You should have left it at top.  😂   I'm teasing  you're pretty awesome too!!,1231009457540350000,https://twitter.com/cathalina1972/statuses/1231009457540345858
5483996373,yes,H,excitement,gulf chopper first meet loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face cute chopper so garang face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy mew held gulf hand took chopper nose smell gulf scent loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face literally cutest two enemy met eo face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,GULF AND CHOPPER FIRST MEET!!!!!! 😭😭😭😭😭😭 CUTEEEE CHOPPER SOOO GARANG 😂😂😂 MEW HELD GULF'S HAND AND TOOK IT TO CHOPPER'S NOSE FOR HIM TO SMELL GULF SCENT 😭😭😭😭😭 THIS IS LITERALLY THE CUTEST. THIS TWO ENEMY MET EO 😂😂😂 https://t.co/nc2OBjJrTP,1231009455954810000,https://twitter.com/SpearBinnie99/statuses/1231009455954808832
5483980511,yes,A,excitement,nah flights pricey days interest rates low face_with_tears_of_joy face_with_tears_of_joy long way go notoriously toxic fanbase either way,@ElectricFoden Nah flights are too pricey these days and interest rates are too low 😂😂 a long way to go to be with a notoriously toxic fanbase either way,1231009454658920000,https://twitter.com/City_93_20/statuses/1231009454658916353
5483997700,no,,excitement,looks like going kentucky roling_on_the_flor_laughing,@SocialistBoomer Looks more like he's going to Kentucky. 🤣 https://t.co/5oN6qB9nph,1231009454365130000,https://twitter.com/RU5514N_H4CK3R/statuses/1231009454365130753
5483979046,no,,excitement,lmao nigga ran 350k dwarf life sucks face_with_tears_of_joy face_with_tears_of_joy,Lmaooo nigga ran up 350k for being a dwarf my life sucks 😂😂 https://t.co/Nva5V0d5YV,1231009453450890000,https://twitter.com/devoSoThrowed/statuses/1231009453450891265
5483983793,yes,H,excitement,play nearly every op better others ofcourse still play sledge ash jager face_with_tears_of_joy face_with_tears_of_joy,@R6eBot I can play nearly every op  some better than others ofcourse  but still  @Rhxdesyy can only play sledge ash and jager😂😂,1231009452658250000,https://twitter.com/eascaaa/statuses/1231009452658249732
5484009927,yes,S,excitement,always get asked picture hair like wrong withyou roling_on_the_flor_laughing,@bxs_el I always get asked for a picture with my hair????? LIKE WHAT IS WRONG WITHYOU!🤣,1231009452268100000,https://twitter.com/MunaLess123/statuses/1231009452268101632
5483998614,yes,H,excitement,good see walk open-mouthed takeaway face_with_tears_of_joy,@dave_the_dr It was good to see him walk out open-mouthed  that was my takeaway from it 😂,1231009451949380000,https://twitter.com/Sgt_Smudge/statuses/1231009451949379584
5483994282,yes,H,excitement,literally gets funnier funnier watched run back like 8 times face_with_tears_of_joy,@jay_lock12 @ComplexSports This literally gets funnier and funnier. I watched it run back like 8 times 😂,1231009451815190000,https://twitter.com/TheRobJames10/statuses/1231009451815186432
5483979045,yes,A,angry,hateful tweet attention beautiful/humorous tweet tweet hate rubs wrong way feel need tweet bk..do want “ response likes boost profile bother help us rather face_with_symbols_on_mouth,Why is it that a hateful tweet can more attention than a beautiful/humorous tweet? Tweet hate and if it rubs you up the wrong way then you feel the need to tweet bk..don’t! They want “response’s or likes to boost their profile !. Don’t bother and help us rather than them!🤬,1231009683651150000,https://twitter.com/johnfolly35/statuses/1231009683651153920
5483976756,yes,A,angry,eva chick slut fucken married whore angry_face angry_face angry_face angry_face station19,This Eva chick is a slut. You're fucken married  you whore! 😠😠😠😠 #station19 https://t.co/yExG7foIYD,1231009677519020000,https://twitter.com/lmbueno4/statuses/1231009677519020033
5483999900,yes,A,angry,angry anyone cringy seeing people come online cry muh sodomy anyone really cares,@SauceElf @HokutoNoRape I’m not angry at anyone it’s just cringy seeing people come online to cry about muh sodomy as if anyone really cares,1231009644996440000,https://twitter.com/comfycatboy/statuses/1231009644996440065
5483980504,yes,A,angry,god angry people cowards refuse obey holy new covenant commandments israel rose rebuilt temple would able stand enemies invasion come till later,@TempleInstitute God is very angry because people are cowards and refuse to obey his holy new covenant commandments. If Israel rose up now and rebuilt the temple  they would be able to stand against their enemies. The invasion doesn't come till later.,1231009641930380000,https://twitter.com/Damon07999898/statuses/1231009641930379265
5483985228,no,,angry,lord knows much pulled old days get hustle day mandem face_with_steam_from_nose face_with_symbols_on_mouth money_with_wings money-mouth_face,Lord knows how much i pulled in the old days to get where i am hustle all day mandem !!!😤🤬💸🤑 https://t.co/nwFvaZImyH,1231009639623470000,https://twitter.com/ChoudhuryAdam/statuses/1231009639623471107
5483990247,no,,angry,today definition grim scholars study today label every condition happened influence caused phenomenon known grimology weary_face face_with_steam_from_nose pensive_face,Today was the definition of GRIM. Scholars will study today and label every condition that happened as an influence that caused the phenomenon known as Grimology 😩😤😔,1231009636679080000,https://twitter.com/Reyamxx/statuses/1231009636679081984
5483976761,yes,A,angry,face_with_steam_from_nose face_vomiting face_vomiting thinks saved invaders drowning norwegians,@MyBeastovio @Mbangxa 😤🤮🤮Who does he thinks saved those invaders from drowning? Norwegians?,1231009626071690000,https://twitter.com/kuliroberts/statuses/1231009626071687168
5483983791,yes,A,angry,helped articulate british politics makes angry pretentiousness poshnes compare trump flying daytona 500 boris pretending know ancient greek also terfs,@deportablediz This helped me articulate what it is about British politics that makes me so angry. Its the pretentiousness and poshness. Compare Trump flying over Daytona 500 to Boris pretending to know ancient Greek.  Also TERFs,1231009619352400000,https://twitter.com/ContrabandEater/statuses/1231009619352399875
